"Symbol","Company","Weight"
"ASML","ASML Holding NV","7.48"
"MC","LVMH Moet Hennessy Louis Vuitton SE","6.15"
"TTE","TotalEnergies SE","5.36"
"SAP","SAP SE","4.19"
"SAN","Sanofi SA","3.89"
"SIE","Siemens AG","3.42"
"OR","L'Oreal SA","3.19"
"ALV","Allianz SE","3.11"
"SU","Schneider Electric SE","3.02"
"AI","Air Liquide SA","2.82"
"AIR","Airbus SE","2.51"
"BNP","BNP Paribas Act. Cat.A","2.39"
"DTE","Deutsche Telekom AG","2.32"
"DG","Vinci SA","2.12"
"IBE","Iberdrola SA","2.07"
"RMS","Hermes International SA","2.04"
"SAN","Banco Santander SA","1.99"
"SAF","Safran SA","1.92"
"CS","AXA SA","1.81"
"MBG","Mercedes-Benz Group AG","1.78"
"MUV2.DE","Muenchener Rueckve","1.72"
"EL","Essilorluxottica","1.70"
"BBVA","Banco Bilbao Vizcaya Argentaria SA","1.55"
"INGA.AS","Ing Groep Nv Common Stock Eur.01","1.53"
"ABI","Anheuser-Busch InBev SA/NV","1.53"
"ENEL","Enel SpA","1.52"
"BAYN","Bayer AG","1.50"
"PRX","Prosus NV Ordinary Shares - Class N","1.45"
"STLA","Stellantis NV","1.40"
"IFX","Infineon Technologies AG","1.38"
"UCG","UniCredit SpA","1.36"
"ISP","Intesa Sanpaolo","1.33"
"ITX","Industria De Diseno Textil SA Share From Split","1.33"
"BAS","Basf SE","1.28"
"DHL","DHL Group","1.27"
"NDA-FI.HE","Nordea Bank Abp","1.25"
"ENI","Eni SpA","1.19"
"BN","Danone SA","1.11"
"RACE.MI","Ferrari Nv Common Stock Eur.01","1.10"
"RI","Pernod Ricard SA","1.07"
"DB1","Deutsche Boerse AG","1.05"
"KER","Kering SA","1.04"
"SGO","Compagnie de Saint-Gobain SA","0.98"
"BMW","Bayerische Motoren Werke AG","0.98"
"AD","Koninklijke Ahold Delhaize NV","0.93"
"FLTR","Flutter Entertainment PLC","0.93"
"ADS","adidas AG","0.88"
"VOW3","Volkswagen AG Participating Preferred","0.76"
"ADYEN","Adyen NV","0.65"
"NOKIA","Nokia Oyj","0.63"