Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
MC.PA,712.3,2023/11/22,17:38 CET,8.200012,706.8,714.1,702.9,253674,20230103,707.9,1.0,,,,
ASML.AS,633.3,2023/11/22,17:35 CET,7.5999756,622.5,637.4,619.5,464199,20230103,529.8,1.0,,,,
AMP.MI,28.34,2023/11/22,17:35 CET,0.42000008,27.98,28.35,27.98,297443,20230103,27.71,18.0,,,,
VER.VI,81.9,2023/11/22,17:35 CET,-1.699997,81.7,83.0,81.05,88779,20230103,80.1,6.0,,,,
RACE.MI,335.3,2023/11/22,17:35 CET,5.1999817,331.8,336.5,331.3,229250,20230103,205.7,2.0,,,,
MRK.DE,159.6,2023/11/22,17:35 CET,-3.699997,163.9,164.9,159.6,394892,20230103,182.8,2.0,,,,
UMG.AS,23.74,2023/11/22,17:35 CET,0.10000038,23.55,24.03,23.5,994153,20230103,23.27,15.0,,,,
LIN.DE,378.05,2023/11/22,17:35 CET,0.0,377.85,379.8,374.3,13957,20230103,301.0,1.0,,,,
SAP.DE,141.16,2023/11/22,17:36 CET,1.7200012,139.78,142.08,139.72,1901856,20230103,98.48,3.0,,,,
UNA.AS,43.795,2023/11/22,17:35 CET,0.17499924,43.75,43.91,43.585,1058928,20230103,47.325,6.0,,,,
PHIA.AS,19.51,2023/11/22,17:35 CET,0.17000008,19.298,19.524,19.238,1295744,20230103,14.774,22.0,,,,
AI.PA,172.84,2023/11/22,17:35 CET,1.2599945,172.1,173.06,171.6,496906,20230103,135.5,2.0,,,,
SAN.PA,84.92,2023/11/22,17:35 CET,-0.41999817,85.31,85.77,84.92,1015755,20230103,91.72,3.0,,,,
SU.PA,165.24,2023/11/22,17:35 CET,1.3600006,164.14,166.44,164.06,693939,20230103,134.12,2.0,,,,
IBE.MC,11.095,2023/11/22,17:35 CET,0.055000305,11.08,11.135,11.035,10248526,20230103,11.025,24.0,,,,
WDP.BR,25.14,2023/11/22,17:36 CET,0.34000015,24.76,25.3,24.76,200970,20230103,27.7,10.0,,,,
SIE.DE,149.66,2023/11/22,17:42 CET,2.0,147.76,150.1,147.7,1361009,20230103,132.22,2.0,,,,
SAN.MC,3.7465,2023/11/22,17:35 CET,0.020499945,3.7355,3.755,3.7175,27335636,20230103,2.8645,90.0,,,,
IAG.MC,1.824,2023/11/22,17:35 CET,0.03999996,1.7825,1.836,1.776,13775781,20230103,1.4705,160.0,,,,
KBC.BR,52.44,2023/11/22,17:35 CET,0.29999924,52.18,52.7,52.16,507861,20230103,61.48,4.0,,,,
AIR.PA,134.0,2023/11/22,17:35 CET,0.2400055,133.88,134.1,132.66,743890,20230103,115.12,2.0,,,,
NOKIA.HE,3.2545,2023/11/22,18:29 EET,0.015999794,3.234,3.2685,3.23,7788493,20230103,4.436,50.0,,,,
BNP.PA,56.58,2023/11/22,17:35 CET,0.12000275,56.63,56.77,56.36,976809,20230103,55.95,4.0,,,,
RBI.VI,15.83,2023/11/22,17:37 CET,0.0,15.81,15.95,15.76,508993,20230103,15.72,14.0,,,,
STM.MI,,,,,,,,,20230103,34.46,6.0,,,,
UBI.PA,30.0,2023/11/22,17:35 CET,-0.26000023,30.21,30.52,29.96,221667,20230103,27.37,8.0,,,,
EBS.VI,36.0,2023/11/22,17:35 CET,0.11000061,35.89,36.17,35.8,216774,20230103,30.92,7.0,,,,
ENEL.MI,6.391,2023/11/22,17:35 CET,-0.025000095,6.41,6.443,6.321,29562808,20230103,5.317,38.0,,,,
ALV.DE,231.0,2023/11/22,17:37 CET,0.6499939,231.85,232.35,230.75,627214,20230103,204.6,1.0,,,,
ITX.MC,36.87,2023/11/22,17:35 CET,-0.010002136,37.0,37.07,36.44,1753885,20230103,25.43,8.0,,,,
PRX.AS,30.28,2023/11/22,17:35 CET,0.16500092,30.14,30.47,30.055,2714789,20230103,68.87,3.0,,,,
ATS.VI,24.76,2023/11/22,17:35 CET,-0.6000004,25.5,25.74,24.76,98039,20230103,33.7,6.0,,,,
REN.AS,34.82,2023/11/22,17:35 CET,0.36999893,34.76,34.93,34.56,534917,20230103,26.33,7.0,,,,
BMW.DE,94.24,2023/11/22,17:36 CET,0.6899948,93.9,94.57,93.24,911571,20230103,86.3,2.0,,,,
JMT.LS,21.92,2023/11/22,16:35 WET,0.0,21.86,21.92,21.74,632278,20230103,20.47,8.0,,,,
FORTUM.HE,12.37,2023/11/22,18:29 EET,-0.06000042,12.43,12.565,12.33,642242,20230103,16.145,15.0,,,,
MRL.MC,8.87,2023/11/22,17:35 CET,0.19999981,8.75,8.93,8.745,740480,20230103,9.075,17.0,,,,
ENI.MI,14.724,2023/11/22,17:37 CET,-0.21000004,14.97,15.004,14.588,10782526,20230103,13.78,12.0,,,,
ZAL.DE,23.07,2023/11/22,17:35 CET,0.020000458,22.84,23.3,22.83,634423,20230103,36.49,5.0,,,,
AMS.MC,63.6,2023/11/22,17:35 CET,0.5,63.08,63.8,63.08,513429,20230103,49.76,3.0,,,,
DTG.DE,29.4,2023/11/22,17:35 CET,0.0,29.47,29.65,29.25,903670,20230103,29.78,5.0,,,,
VNA.DE,24.91,2023/11/22,17:37 CET,0.22999954,24.7,25.24,24.7,1745485,20230103,23.68,7.0,,,,
CS.PA,28.24,2023/11/22,17:35 CET,0.03999901,28.275,28.49,28.17,2072849,20230103,26.64,5.0,,,,
ETE.AT,6.2,2023/11/22,17:19 EET,-0.09000015,6.084,6.232,6.056,12096000,20230103,3.797,35.0,,,,
TEN.MI,15.33,2023/11/22,17:35 CET,-0.21000004,15.595,15.635,15.145,3001143,20230103,16.505,8.0,,,,
CNHI.MI,9.202,2023/11/22,17:35 CET,-0.0040006638,9.21,9.286,8.75,9650195,20230103,15.39,8.0,,,,
BAYN.DE,32.815,2023/11/22,17:44 CET,-1.170002,33.76,34.095,32.65,9749377,20230103,49.255,2.0,,,,
IFX.DE,33.465,2023/11/22,17:38 CET,0.06499863,33.305,33.755,32.965,4760153,20230103,29.53,1.0,,,,
